Original Title,Expected V2.1 title ,Comments,ONet SOC Set Ordered by Score,Description
Enterprise Architect,Enterprise Architect,,[15],"pWestfield Insurancebr/Located in Westfield Center, OH Westfield Insurance is a 160 year old property and casualty regional insurance carrier. Our winning vision embraces innovation and opportunities in a changing world. Our strength comes from relationships we have built with employees, business customers and customers. The product we offer our customer is peace of mind, and our promise of protection is supported by a commitment to service excellence, provided by an exceptional team of diverse peoplebrr/Enterprise Architect, based in Westfield Center, OHbrr/Our Architecture and Emerging Technology business unit of the Information Technology group is looking for the right candidate to join our team as an Enterprise Architect. In this role, you will be a part of a team responsible for developing the IT strategy for the enterprise. This includes providing overall direction, guidance and definition of the business, enterprise, and IT architecture to effectively support the corporate strategy and competitive business strategies. In this role you will be asked to understand and rationalize diverse and conflicting needs, collaboratively create a vision, articulate impacts to technology, people and finance, influence decision makers, build consensus, and report on the results. Your primary measure of success will be on how you impact the evolution of technology within the organization while mitigating risks and building relationships.brr/To Qualify: the ideal candidate will have at least 7 years of IT experience to include working as a part of an Enterprise Architecture team. This position serves as a generalist and recognized expert so the EA experience must include at least three of the four architectural domains: applications, data, infrastructure and/or business. Skills such as; proven ability to positively influence others, quickly earn credibility and the ability to translate ideas into positive organizational change are necessary for success in this role. The incumbent must have the ability to develop and present complex material effectively to a wide variety of technical and non-technical audiences.brrAt Westfield, our employees know how their efforts contribute to the success of the company. Join an organization where your work is important, your time is productive, and your contribution is rewarding. We encourage a culture of sharing knowledge, open communication, supporting co-workers, and accountability. Our employees feel good about the work they do and the people they work with. Our compensation and benefits package is designed to enhance our employees workfe balance by addressing their need for financial security, personal and professional growth, family involvement, and a commitment to making a difference in their communities. Our Total Rewards package includes 401K, Pension Plan, Annual Incentive Program and Education Reimbursement.brr/ "
Enterprise Solutions Architect,Enterprise Architect OR Solutions Architect,,[15],"bResponsibilities: A Kforce client in Vienna, Virginia is seeking an Enterprise Solutions Architect. The person in this role will be responsible for defining solution frameworks and writing technical solutions in response to government solicitations.br/Job responsibilities include:brliUtilizing your strong familiarity and experience supporting proposal response under very tight timeframesbrArticulate the business value propositions of frameworks and technology solutionsbrFormulate, define, and document solution frameworks and technical solutions to satisfy requirements of solicitationsbrWork closely with the Capture Manager (CM) and Proposal Manager (PM), some of the tasks include:  work with the CMM to manage proposal response; ensure proposal responses are complete, compelling, and in alignment with win themesbr/brr/Kforce Inc. (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance  accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ;Great People = Great Results; for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.brr/Job Ref#: 2312~AQG~1181843T1~99 The successful applicant will possess the following requirements:brliA BS or MS degree in Computer Science, Electrical and Computer Engineering, or similar disciplinebrOne or more of the following certifications is necessary:  PMP, ITIL, CISSP, MCSE / MCSA, CCNP, OCP, VCP, CCA or similar certificationbrAreas of expertise should include three or more of the following:  Enterprise Architecture (FEAF, DoDAF, and FSAM), IT Governance (COBIT, Budgeting Ex300, Ex53, Capitol Planning and Investment Control, and Portfolio and Project Management); IT Service Management (ITIL V3, Strategy, Design, Transition, Operations, and CSI); Performance Based Management (Contractual Service Level Agreements, Operating Level Agreements) and Process DesignbrExceptional writing skills are essential with demonstrable experience developing compelling solutions that are clearly and concisely articulatedbrIn-depth knowledge or strong familiarity with two or more of the following:   information assurance (NIST SP, FIPS, C/A, and DoD); Program and Project Management (PMI PMBOK); Software Development (Agile, Rup, SCRUM, Java,.NET, and SharePoint); Service Design (cloud solutions, virtualization, thin client, VoIP, IP6, VTC, DR/COOP and mobile technologies), and IT Service Transition and Operations (Remedy, Altiris, Serena, and Service Now)brArticulate the business value propositions of frameworks and technology solutionsbrBe able to design and align solutions frameworks and technical solutions to proposal win themes, corporate core competencies, and solicitation requirementsbrExtensive experience in supporting federal agency missionsbr/"
Portfolio Accounting Intern,Accounting Analyst ,Portfolio Accounting Analyst is more specific ,"[13, 43]","pbspanWaterton Residential,span spanone of the leading multifamily companies in the nation, is focused on the acquisition and management of apartment communities in multiple markets. Since its inception in 1998, the Waterton Residential team has remained committed to outstanding customer service by providing a community our residents are proud to call home. With over 19,000 apartment homes in 50 communities in 13 states the Waterton Residential brand signifies exceptionalving experiences, a sense of community, and home. Waterton employs nearly 600 associates who are committed to achieving the Waterton Residential vision ndash;biTo Be THE Leader In The Multifamily Industry./ipWaterton Residential currently has an opportunity for a Portfolio Accounting Intern. pTermb: Winter 2013bpbspan styletext-decoration: brJob Duties Include: pspanmiddot; Supports Portfolio Accounting teampspanmiddot; Prepares bank reconciliationspspanmiddot; Posts journal entriespspanmiddot; Prepares analysespspanmiddot; Data entry projectspspanmiddot; Assists with institutional investor reportingpspano Quarterly reporting to investorspspano Quarterly reporting to investorsrsquo; consultantspspano Annual budget and quarterly forecast preparationpspano Other required reporting pspanmiddot; Assists with year-end audited financial statementspspanmiddot; Assists with year-end tax return review process pspanmiddot; Significant completed coursework in Accountingpspanmiddot; Pursuit of Accounting, Finance, or Economics undergraduate or graduate degreepspanmiddot; Minimum GPA 3.0 / 4.0pspanmiddot; Related accounting experience a pluspspanmiddot; Interest in real estate industry a pluspspanmiddot; Involvement in campus activity or volunteer organization a pluspspanmiddot; Ability to analyze, interpret and make deductions from varying facts or circumstancespspanmiddot; Strong organizational, analytical, interpretive and investigative skillspspanmiddot; Excellent verbal and written communication skillspspanmiddot; Excellent customer service skills while maintaining the highest standards of professionalismpspanmiddot; Ability to adapt quickly to changing circumstancespspanmiddot; Perform several projects simultaneously that are of aspan non-routine naturepspanmiddot; Detail-orientedpspanmiddot; Proficient in Microsoft Excel and WordppFor immediate consideration, please send your resume to Tiffany Byrd at a hrefhttp://api.careerbuilder.com/v1/application/applylink?developerkey=WDH53HS62R10N37JG115JobDID=JHL4096NZ07WD1DVRCHDID=JHL4096NZ07WD1DVRCH;[Click Here to Email Your Resum]/a. pTo learn more about Waterton Residential, please visit our website at a ExLinkAttributehttp://www.watertonresidential.com%2f; classexLink; hrefhttp://www.watertonresidential.com/;http://www.watertonresidential.com/a "
DIGITAL SALES SPECIALIST,Sales Specialist ,Digital Sales Specialist is more specific,[41],"p Des Moines Register Media is seeking a proven, results-oriented digital sales specialist to join a world class sales team driving results for clients while growing revenue and market share. Our digital sales strategist will excel in executing the strategic sales process and effectively developing solutions using the incredible array of options available. Gannett and Des Moines Register Media are leaders in bringing to market digital products and services ranging from premium content, targeted, rich media display to web development to search, reputation, e-mail and social media programs. Des Moines Register Media delivers leading coverage of able to buy consumers via many print product options. Our digital sales specialist must possess a keen understanding of the marketplace with the ability to identify and develop emerging opportunities and proven success in a goal-oriented, high volume environment. p p strongResponsibilities include:/strong ulli Meeting or exceeding revenue expectations Develop an understanding of the account base and related industries, customersï¿½ï¿½ï¿½ individual digital business needs, and trends and patterns To develop and deliver custom solutions that provide and deliver ROI to customers Understanding of market competitors, and execute strategies for selling against the competition Increase market share by gaining new business through aggressive face-to-face sales calls, up-sells, appointment setting and cold calls with customers and/or potential customers. p p strongJob Requirements /strong ulli Bachelorï¿½ï¿½ï¿½s degree required majoring in Marketing or Advertising a plus Minimum two years of successful sales experience Excellent knowledge of digital sales and marketing Strong interpersonal, communication and presentation skills, and ability to promote and sell concepts to team and customers Excellent organizational skills, including proficiency in Microsoft Office applications p p p Des Moines Register Media is Iowaï¿½ï¿½ï¿½s prominent media company, reaching readers across the state with our daily Des Moines Register editions, our award-winning DesMoinesRegister.com website and various non-daily publications. We are part of the Gannett Co. an international media and marketing solutions company that informs and engages more than 100 million people every month through its powerful network of broadcast, digital, mobile and publishing properties. We offer a competitive salary and a comprehensive benefits package that includes a 401(k) plan. p p Des Moines Register Media is committed to diversity and proud to be an equal opportunity employer. Employment is contingent on passing a pre-employment, post-offer drug screen. &#160;p"
Cisco Network Engineer,Cisco Engineer,Cisco Network Engineer is more specific,"[15, 17]","pbReynolds Consumer Products is currently searching for a bCisco Network Engineerto join our team in bLincolnshire (Northwest Chicago), IL. Two of the most trusted household brands, Reynolds&#174; and Hefty&#174;, joined together as Reynolds Consumer Products in 2010. Today, Reynolds Consumer Products, headquartered in Lake Forest, Illinois, offers a diverse product portfolio of essentials for every home. From prepping and cookingï¿½ï¿½ï¿½ to storage and disposalï¿½ï¿½ï¿½ Reynolds Consumer Products provides solutions for controlling the chaos of busy households everywhere.pbpbJOB SUMMARYpThis position is a team member within RLS Technology Management team, working closely with all IT verticals to manage, maintain, deploy and support network and security infrastructures. Candidate must be familiar with the following technologies: Cisco routing / switching / WLAN / ACE / VOIP, Checkpoint Firewall, Nagios, Splunk, BlueCoat Internet Proxy. The individual will be required to perform after hours support and must be able to travel at least 40-50%.pbpbJOB RESPONSIBILITIESli Must be a self-starter demonstrating the willingness to address / resolve ambiguity and conflict within complex business change projectsli Candidate must be able to travel for site implementations up to a week at a timeli Manage CheckPoint Firewall policy and infrastructureli Specify/Design/Implement site-to-site 3rd party VPN connections to various vendorsli Manager/troubleshoot BlueCoat Proxy Infrastructureli Management ofnux environment including sysadmin roles and new buildsli Deploy new configurations on Cisco ACE load balancersli Adhere and champion infrastructure standardsli Effectively support a wide range of issues, including secure architectures, secure electronic data traffic, network security and privacy to meet customer and business needs. Coordinate all level 2 network and security changes with appropriate teams to ensure uninterrupted serviceli Acknowledge and resolve user and system-generated production issues (Remedy Incidents) for assigned applications within established SLOsli Diagnose, identify root cause, and resolve the most unique and complex network and security (level 2) problemsli Maintain documentation for all operational / support processes for the systems supported by the Network and Security team; automate repetitive processes where appropriateli Guide successful completion of network security for major programs and may function in a project leadership roleli Stay current with new technologies and techniques as appropriatepbpbJOB REQUIREMENTSli BS Bachelorï¿½ï¿½ï¿½s Degree in Computer Science, Engineering, related field or equivalent experience. 5+years hands-on experience with a broad range of enterprise-class technology solutions. Ability to travel 40-50% of the time (domestically from site-to-site) is required.li CCNP technical certification is highly desired; candidates with commensurate experience will be consideredli Must be able to work well in a team environment and manage large project load.li Strong understanding of OSPF and BGP routing protocolsli Deep understanding of TCP/IP protocol and troubleshootingli UNIX /nux / VMware experience is requiredli Basic programming experience in Perl is requiredli Deep, extensive knowledge and experience with Cisco technologies; this is our primary network platform for the enterpriseli Excellent communication skills, written and verballi Self-directing individual demonstrating teamwork, organization skills and well-structured working approach given multiple prioritiespbpbABOUT REYNOLDSpA new company in 2010, Reynolds Consumer Products draws on the knowledge and wisdom that come from decades of experience. We have the benefit of merging the expertise of several well-respected legacy companies, including the world-class aluminum manufacturing capabilities of Reynolds and a history of high-quality plastics manufacturing through our Hefty&#174; brand.pWe are committed to a diverse workforce as an equal-opportunity employer. Our benefits program for salaried employees offers the following options: medical, prescription, dental, vision, long-term disability, short-term disability, flexible spending accounts for medical and dependent day care, basic and supplementalfe insurance, ADamp;D insurance, 401(K) and an employee assistance program. pReynolds Consumer Products and Pactiv Foodservice Food Packaging are affiliated companies and share a job application platform for salaried positions in the U.S. This tool will show open positions for multiple companies, so please make a note of the specific company and geographic location on each job description. pReynolds Leveraged Services is an Equal Opportunity Employer - M/F/D/V "
Inpatient Coding Specialist II,Medical Coding Specialist OR Inpatient Coder,,"[29, 43]","/Under the direction of the Director of Health Information Services, the coding specialist is responsible for performing all tasks related to inpatient and/or outpatient record&#160; coding, performs coding of the medical record compliantly and according to Coding Clinic Guidelines, CPT Assistant Guidelines and APC standards with modifiers for outpatient records, DRG analysis for inpatient records, and transmission of specific information to the Business Office to facilitate billing and reimbursement.&#160;&#160; The coding specialist will perform other duties as requested by the Health Information Director. ullipEducation: Education: brHigh School Diploma, College courses in medical terminology, human anatomy and physiology, completion of intermediate levels ICD-9 and CPT-4 Coding, current training in DRG and APC implementation.brbrExperience:&#160; brTwo years acute care hospital coding experience required.&#160; brbrLicenses/Certificates:&#160; brAA degree in health information technology preferred.&#160; CCS certification preferred.br// brr/strongJob: /strong &#160;Health Information Management Servicesbrr/strongOrganization: /strong &#160;Watsonville Hospitalbrr/strongEmployee Status: /strong &#160;Full-timebrr/strongShift: /strong &#160;Day Shift"
Software Developer (C/C++),Software Engineer,,[15],"bAbout PHD Virtual br PHD Virtual Technologies is transforming data protection and enterprise monitoring in virtual IT environments. We pioneered ï¿½ï¿½ï¿½virtual backup appliances; (VBAs) in 2006, using virtual machines to backup virtual machines and have since become an award-winning product of choice for data protection in virtual environments. PHD Virtual also delivers a comprehensive monitoring solution for virtual and physical environments. More than 4,500 enterprise customers worldwide trust PHD Virtual for VMware and Citrix XenServer, to protect their business-critical data. We experienced tremendous growth in 2011 setting corporate revenues records and increasing new customer acquisition by over 75%. With the addition of key international distribution partners, we expanded our worldwide presence helping to drive over a 50% increase in revenue from the EMEA region alone. The virtualization market is rapidly expanding and our data protection and monitoring solutions are in high demand. PHD Virtual is owned by Insight Venture Partners, a leader in private equity with $5B funds to back its commitment to the best technology companies worldwide. br br  brr bJob Description br This position offers the opportunity to showcase your skills of design and development while working on enhancements of our current products as well as new products and technologies. br  brr The Full-Time position is located in Morris Plains, NJ and offers: br ï¿½ï¿½ï¿½ Salary commensurate with experience br ï¿½ï¿½ï¿½ Generous medical/dental/vision benefits available br ï¿½ï¿½ï¿½ 401K program available br brr ï¿½ï¿½ï¿½b 3+ years previous development with C/C++ brr ï¿½ï¿½ï¿½ Development building commercial software applications for enterprise level customers, a plus br ï¿½ï¿½ï¿½ Prior development of applications that run on multiple operating systems br ï¿½ï¿½ï¿½ Experience withnux a must and Windows a benefit br ï¿½ï¿½ï¿½ Understanding of Virtualization (VMware, Xen, Hyper-V) a benefit br ï¿½ï¿½ï¿½ Developing solutions for virtual environments, a plus br ï¿½ï¿½ï¿½ Previous experience with Source Control (SVN, CVS) br ï¿½ï¿½ï¿½ Languages (C/C++ required, Shell, Python, a plus) br ï¿½ï¿½ï¿½ Experiencing administering anux system a plus br ï¿½ï¿½ï¿½ SQL Database experience a plus br ï¿½ï¿½ï¿½ Good coding and documentation practices br ï¿½ï¿½ï¿½ Consistent and thorough, the desire to ï¿½ï¿½ï¿½go the extra mileï¿½ï¿½ï¿½ br ï¿½ï¿½ï¿½ BS in Computer Science or a related field br ï¿½ï¿½ï¿½ Excellent debugging, analysis and code development skills br ï¿½ï¿½ï¿½ Demonstrated ability to solve problems and troubleshoot software issues. br ï¿½ï¿½ï¿½ Team player with excellent interpersonal and communication skills br ï¿½ï¿½ï¿½ Excellent oral and written communication skills br  brr"
Development Electrical Engineer,Electrical Engineer,,[17],"pAssists in achieving Engineering objectives by designing, testing, and supporting the electrical/electronic aspects of computer based mail processing systems; managing projects; represents second level in electrical engineering.brr/strongDUTIES AND RESPONSIBILITIES:/strongbrr/Supports Engineering by researching, designing, developing, and testing the electrical/electronic aspects of computer based mail processing systems according to established policies, procedures, government regulations, and customer requirements; managing the project from start to finish; building prototypes; working with the Lab to develop test fixtures; documenting specifications and material requirements on all designs; troubleshooting problems; adhering to established project schedules and priorities; following up and supporting electrical/electronic designs in Manufacturing and the field.brr/Ensures quality of electrical/electronic designs and purchased components/systems by developing and documenting test plans; conducting, analyzing, and documenting tests; making modifications; soliciting observations from operators; requesting assistance from more experienced engineers as required; conferring with suppliers on design details, costs, and schedules of purchased products; evaluating supplier parts/systems.brr/Assists with the ECO process by creating engineering change orders; participating in ECO review meetings.brrrovides information by providing written status reports on progress; collecting, analyzing, and summarizing information and trends; delivering customer and internal presentations.brr/Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.brr/Contributes to team efforts by accomplishing related results in a cooperative and supportive manner.pstrongSKILLS AND ABILITIES:br//strongbr/Ability to convey technical concepts in an easily understood manner, both verbally and in writing; clear and concise verbal and written communicationspGood debugging, organization, and project management skillspAbility to define problems, collect data, establish facts and draw conclusionspStrong electrical/electronic aptitude and creative ability; self-motivated; ability to work under general supervision; good technical writing skillspRequires use of CAD systems and test equipmentpBasic computer skills: word processing, spreadsheetspThis position can be located in Durham, NC or Bethlehem, PA.br/ pstrongEducation, Experience, and Knowledge/strongpBachelors Degree in Electrical Engineering or related field with 3-6 years experience in electrical/electronic design and analysis, or equivalent combination of education and experience. pRequires knowledge of mail processing equipment, analog/digital circuitry, software, microprocessors, and government regulations.br/"
Mortgage Fraud Analyst,Fraud Analyst,,[13],"strongDivision:&#160;/strongRisk Management br/strongFlsaStatus:&#160;/strongNon-Exempt br/strongEmploymentType:&#160;/strongRegular br/GENERAL FUNCTION: Responsible for investigating alerts or hits on mortgage fraud detection systems to determine what action needs to be taken (case referral, completion of a SAR, exit relationship, continued monitoring). Assists the Mortgage Fraud Supervisor and Corporate Investigation Manager in developing policies and procedures to enhance fraud detection efforts. Assists in the calibration of mortgage fraud detection software. DUTIES AND RESPONSIBILITIES: * Responsible for assisting the mortgage fraud supervisor with the overall management of the Banks mortgage fraud detection systems. This position also works with Bank Protection management to develop and refine mortgage/consumer fraud detection controls and the reporting of suspicious activity. * Responsible for reviewing alerts on fraud detection systems and recommending appropriate follow-up, including the completion of Suspicious Activity Reports as applicable. Actively assists the supervisor with respect to exit strategy coordination, if applicable. * Coordinates the investigation of any fraud issues with the appropriate fraud investigative unit or agency, as appropriate. * Interacts with the Banks departments in identifying mortgage/consumer loan fraud detection/trending issues and makes recommendations for improvements to policy and procedures, as applicable. * Initiates and participates in special projects including system and staff analysis to improve the day-to-day operation of the group. * Assists the manager in system calibration and daily operations as necessary. * Handles a high volume of customer inquiries in potentially confrontational situations. Maintains professionalism and balance between the risk to the bank and the customer. * Manages a significant caseload utilizing the companys investigative case management system. * Develops, maintains, and disseminates knowledge on current fraud trends and issues. * Assumes additional responsibilities as requested. SUPERVISORY RESPONSIBILITIES: None brr/hrbrr/Experiencebrr/KNOWLEDGE  SKILLS REQUIRED: * Bachelors Degree or commensurate work experience. * Minimum two years experience in mortgage industry or related field. * Minimum two years underwriting experience. * Minimum two years in a high volume residential loan center with a sound understanding of mortgage originations and underwriting practices. * Experienced in the evaluation and detection of potential suspicious/fraudulent activity related to mortgage/consumer lending. * Working knowledge of regulatory requirements related to fraud detection/investigation, including Suspicious Activity Reports, USA PATRIOT Act, OFAC, and FACTA. * Demonstrated fraud expertise in multiple fraud detection/investigation disciplines. * Working knowledge of commonly used concepts, practices, and trends related to white-collar crime. * Excellent oral and written communication skills. * Demonstrated strong track record of positive customer service in adverse situations. * Strong organizational skills and attention to detail. * Proactive in identifying potential concerns and following up to resolve such issues. * Ability to research and make appropriate decisions regarding complex cases. * Ability to maintain professionalism in stressful and confrontational situations. * Ability to work independently and meet deadlines. * Strong PC knowledge, including MS Office, Word, and Excel, PowerPoint. "
"Juniper Networks - Sr. System Engineer - Seattle, WA",Network Engineer OR Systems Engineer,,"[15, 17]","spanstrongABOUT JUNIPER NETWORKS /strongbr /Juniper Networks is in the business of network innovation. From devices to data centers, from consumers to cloud providers, Juniper Networks delivers the software, silicon and systems that transform the experience and economics of networking. Our products and technology run the worldrsquo;s largest and most demanding networks today, enabling service providers, enterprises, and governments to create value and accelerate business success. Everyday our 9,000+ colleagues come together across 46 countries to realize our company vision ndash; Connect Everything, Empower Everyone. We are innovating in ways that empower our customers, our partners and ultimately, everyone, in a connected world. These customers include the top 130 global service providers, 96 of the Fortune 100 and hundreds of public sector organizations. br /strongbr /WHERE WILL YOU DO YOUR BEST WORK? /strongbr /Wherever you are in the world, whether itrsquo;s downtown Sunnyvale or London, Westford or Bangalore, Juniper is a place that was founded on disruptive thinking ndash; where colleague innovation is not only valued, but expected. We believe that the great task of delivering a new network for the next decade is delivered through the creativity and commitment of our people. The Juniper Way is the commitment to all our colleagues that the culture and company inspire their best workmdash;theirfersquo;s work. At Juniper we believe this is more than a job - itrsquo;s an opportunity to help change the world... br r /We are looking for a Seattleellevue-based Systems Engineer to partner with a Named Account Manager in a pre-sales technical role, showcasing Juniper solutions. In addition to technical aptitude and the ability to learn quickly and stay current, the ideal candidates interpersonal, presentation and troubleshooting skills evoke passion and confidence in customers, partners and the Juniper team. Ability to thrive in a fast-paced, highly competitive sales environment is essential. br r /strongJob Duties br //strongbull; Provide technical sales support for named accounts in Seattleellevue and surrounding areas. br ull; Build and maintain strong professional relationships with IT decision makers within assigned named accounts. br ull; Perform technical presentations for customers, partners and prospects. Communicate highly technical concepts to a variety of audiences, including executive level technical decision-makers. br ull; Set up demonstrations and explain features and benefits to customer and prospects. br ull; Develop compelling, secure and scalable Juniper network designs (including detailed bills of materials and network diagrams) to meet specific customer needs. br ull; Stay up-to-date on relevant competitive solutions, products and services. br ull; Assist with the development of formal sales plans and proposals for assigned opportunities. br r /We offer very market competitive benefits i.e. Base, Commission, Equity, 401k, ESPP, Medical, Dental, Vision,fe, FSA, PTO (15 days accrual 1st yr), 12 Paid Holidays, EAP, Credit Union, Child/Elderly Care, Tuition Reimbursement, and Green commute incentives. br r /Juniper Networks is an Equal Opportunity/Affirmative Action Employer. br r /Juniper Networks is enrolled in E-Verify and will be participating in E-Verify in addition to our Form I-9 process. a ExLinkAttributehttp://www.dhs.gov%2fE-Verify; classexLink; hrefhttp://www.dhs.gov/E-Verify;www.dhs.gov/E-Verify/a        br r / spanstrongRequired Skills amp; Qualifications /strongbr ull; A strong, successful pre-sales engineering track record (7+ years) in the data network and network security industry with large enterprise customers in the Puget Sound area. br ull; Expert-level knowledge of Juniper enterprises solutions, productne specifications, and performance criteria, in addition to competitorsrsquo; solutions and, industry standards and consortiums (IETF, IEEE,TCG), br ull; Advanced, in-depth, (hands-on and conceptual) LAN and data center switching, IP routing, and network security (firewall, VPN, IPS) understanding and design expertise. Professional-level certifications (JNCIP or equivalent and above) are expected. br ull; MPLS/VPLS knowledge and experience is highly desirable. br ull; Strong organizational skills are required for this fast paced position. br ull; Excellent written and verbal communication, includingstening, negotiation and presentation skills. br ull; Ability to work effectively and add value as a team member. br ull; BS-level education in electrical engineering or computer science is strongly preferred. br /strongbr //strongbr /"
REGISTERED NURSE,Registered Nurse,,[29],"bcenterhrRegistered Nurse /centerhrbrbrbTexas Oncology -Fort Worth 12th Avenuehas an exciting opportunity for a span styletext-decoration: Registered Nurse. This nurse will work in a collaborative role with a medical oncology physician in a growing and dynamic practice. Thispositionisan integral part of an interdisciplinaryteam that assists in the care and management of adult oncology and hematology patients. This position is Monday thru Friday with daytime office hours. Cross-trainingto otherphysicians and Infusion is requiredfor coverage purposes.brbrbScope: brbrProvides professional nursing care for patients following established standards and practices. Demonstrates knowledge of age specific differences in the patient population including late adolescence, adulthood, middle age, and the elderly. This includes physiological, psychological, and developmental differences unique to each group. Supports and adheres to the US Oncology Compliance Program, to include the Code of Ethics and Business Standards. brbrbspan styletext-decoration: Essential Duties amp; Responsibilities of Registered Nurse includes: brbrul   Mixes and administers chemotherapy, hydration and other medications under the direction and supervision of a physician. Assists physician with exams and procedures. Maintains efficient and appropriate patient flow in and out of exam rooms.   Records patient data prior to each physician visit, including but notmited to, vital signs, height, weight, allergies, medication changes.   Maintains all exam room disinfection protocols. Assesses patients for changes in condition, including but notmited to abnormal labs, x-rays, scans, drug reactions and initiates appropriate action.   Maintains knowledge of reimbursement procedures. Completes all chemotherapy charge forms. Assures pre-authorization and appropriate consent forms are obtained prior to administration of therapies.   Demonstrates knowledge of ambulatory infusion pump use and maintenance, cleaning pumps after use, and proper documentation of pump usage. Facilitates dose modification by assessing patient, assessing labs, consulting protocol or treatment plan, calculating dose, and consulting physician regarding dosage modifications, problems, and symptom management.   Performs venipuncture, accesses implanted ports and maintains centralnes catheter devices.   Administers all medicationslood products using correct medicationlood product, dosage/amount, route, time and technique. Displays appropriate technical skills for the administration of chemotherapy, medications and blood products, to include, but notmited to: venipuncture, centralne access and infusion devices.   Programs portable infusion pumps for continuous drug delivery and provides instruction to the patient and/or caregiver in the use of the pump at home.   Documents nursing assessments, patient teaching and fluid and medication administration in the patient chart. Communicates all pertinent information and any interventions to the physician. Assures nursing charges are accurate and complete on patient fee slips.   Acts as a resource person to the medical assistants. Triages patient phone calls as needed and documents relevant information in the patients chart.   Assesses patient/family needs and provides teaching and other instructional material. Demonstrates awareness of community resources available to patients and assists with referrals if necessary. Manages patient medication refill requests from the pharmacy telephonene and records the information in the patient chart.   Maintains a clean work environment and restocks the supply area as needed. Provides nursing coverage for the satellite offices as needed.   Follows OSHA guidelines when handling cytotoxic agents, biohazardous waste and any other material potentially infected with a blood borne pathogen.   Participates in professional development activities and maintain professional affiliations. Maintains patient confidentiality.  bcenterhrRegistered Nurse /centerhrbrbrbspan styletext-decoration: Requirements for Registered Nurse includes: brbrbrul   Graduate from an accredited program for professional nursing education, BSN preferred.   Years of experience necessary for each level.    ul       RN I - Requires 0-3 years experience       RN II - Minimum of three years nursing experience       RN III - Minimum of seven years nursing experience.        Experience in an oncology environment is required.   Current or pending oncology certification preferred.   Experience and knowledge of the purpose and use of medications in the treatment of cancer.   RN statecense and current registration with the State Board of Nursing in practicing state.   Current CPR certification required.   Must maintain continuing education requirements.   Highly motivated and organizational skills.   Positive, upbeat, professional personality. p"
Store Manager/Salesperson,Sales Manager,,[41],"strongCompany Overviewbr r //strongFactory Mattressis celebrating 35 years of being the only locally owned bedding retailer serving Austin and San Antonio. We pride ourselves on our extensivene of products and the best customer service satisfaction guarantee in the industry.We dont just say we have great customer service, Factory Mattress has an A+ rating with the Better Business Bureau, something very rare inretail today. br r /Factory Mattressis poised for growth and is seekinghighly motivatedManager/Salespeople in our San Antonio market. We are excited to offer opportunities to those who want to grow with us and exceed our customers expectations. At Factory Mattress, we know that in order to have a successful company we must coach and develop a successful team. Our philosophy is developing a great team and empowering them to provide our customers with the best level of service in the business.br r r /strongSnapshot of Duties and Responsibilities:br r span* Direct consumer sales in a retail environmentbr /* Store merchandising/maintain showroom appearancebr /* Inventory managementbr /* Customer and vendor relations br //strong strongThe qualifiedapplicant should have some prior sales experience as well as:/strongbr r /*High level of self-motivation, determination, and willingness to learnbr /*Positive attitudebr /*Exceptional commitment to providing top notch customer servicebr /*Detail oriented with strong problem solving skillsbr /*Again, previoussales experience is requiredbr r r /strongBenefits:br //strongbr /* spanGenerous paid trainingbr /* 3 days off every other week!br /* Medical/Dentalbr /* Employee purchasing incentivesbr /* Opportunity to help others through the charities we supportbr /* Management opportunitiesbr /* A company with integritybr /br /br r /strongJoin our team and help us celebrate 35 years of helping Austin and San Antonio get a better nights sleep!/strong"
