Original Title,Expected V2.1 title ,Comments,ONet SOC Set Ordered by Score,Description
EXPRESS REPRESENTATIVE,Claims Examiner,hard to pin this title down - can it also be a Claims Adjuster?,"[13, 43]","STRONGPosted Date: /STRONG&#160;10/15/2012 BRBRSTRONGSummary:/STRONG Summary: BRInvestigates and handles to conclusion moderate first and third party claims involving coverage andability determination. Role explores all settlement opportunities, tools for resolution, and with authority of up to $7,500 for injury resolution.       Job Responsibilities: BR    ï¿½ï¿½ï¿½Understands concepts of coverage, policy interpretation, exposure recognition andability determination to analyze and move claims towards resolution using best practices. BR    ï¿½ï¿½ï¿½Handles non-represented injury claims up to a specified period prior to triage including investigating and evaluating soft tissue injuries. BR    ï¿½ï¿½ï¿½Negotiates minor injury claims by using tools available such as full and final settlements or open-ended releases. BR    ï¿½ï¿½ï¿½Identifies exposures and refers files or features for triage to the appropriate level. BR    ï¿½ï¿½ï¿½Contacts insured, claimants including guest passengers to rule out any physical damage, first party medical, or injury claims. BR    ï¿½ï¿½ï¿½Obtains information and investigates the facts of loss to make aability determination. BR    ï¿½ï¿½ï¿½Assigns material damage features as needed and may handle all customer questions to conclusion. BR    ï¿½ï¿½ï¿½Uses expert systems to evaluate facts of loss and impact onability and to assist in evaluation of medicals. BR    ï¿½ï¿½ï¿½Document files to include all key activities, contacts made, statements taken, including a full outline covering all aspects of the claim and requirements for resolution and process claims with Esurance claims systems. BR    ï¿½ï¿½ï¿½Identifies and transfers total loss features to the Total Loss Unit for handling. BR    ï¿½ï¿½ï¿½Identifies referrals, completes proper summaries and forwards files to subrogation for collection in a timely manner BR    ï¿½ï¿½ï¿½Makes referrals to SIU as needed. BR    Qualifications: BR    ï¿½ï¿½ï¿½Detail-oriented with strong organizational, negotiation, influential, and customer service skills, able to work well under deadlines in a changing environment and perform multiple tasks effectively and concurrently. BR    ï¿½ï¿½ï¿½Demonstrated ability to work effectively independently and within a collaborative team oriented environment using sound judgment in decision-making. BR    ï¿½ï¿½ï¿½Demonstrated ability to manage relationships with both internal and external customers. BR    ï¿½ï¿½ï¿½Excellent communication skills both oral and written with strong presentation skills. BR    ï¿½ï¿½ï¿½Strong analytical and problem solving skills. BR    ï¿½ï¿½ï¿½Demonstrated proficiency with MS Office products (Outlook, Word, Excel, PowerPoint) and claims related software applications. BR    Experience / Education: BR    ï¿½ï¿½ï¿½Bachelorï¿½ï¿½ï¿½s degree in Business Administration, a related field, and/or equivalent education required. BR    ï¿½ï¿½ï¿½One to three years of claims adjuster experience./    STRONGResponsibilities:/STRONGUL   Obtains and analyzes facts of loss to determineability and exposures for handling   Identifies higher level exposures and refers files or features to management for triage.   Sends necessary correspondence as it relates to the claim and department of insurance regulations   Monitors and updates customers at various stages of the claims and repair process to ensure expeditious service   Uses Esurance systems to properly document files and process claims.   Promptly identifies and transfers total loss features to the Total Loss Unit for settlement handling   Identifies referrals, completes proper summaries and forwards files to subrogation for collection in a timely manner STRONGQualifications:/STRONGUL   Detail-oriented with strong organizational skills, able to work well under deadlines in a changing environment and perform multiple tasks effectively and concurrently.   Demonstrated ability to manage relationships with both internal and external customers.   Demonstrated ability to work effectively independently and within a collaborative team oriented environment using sound judgment in decision-making.   Excellent communication skills both oral and written.   Strong analytical and problem solving skills.   Excellent customer service and solid negotiation skills.   Demonstrated proficiency with Microsoft Office products (Outlook, Excel, PowerPoint, and Word) and claims related software programs. STRONGExperience / Education:/STRONG   Bachelorï¿½ï¿½ï¿½s degree in Business Administration, a related field, and/or equivalent education required.STRONG/STRONG   Two years of claims customer service experience required In addition to career advancement opportunities and a fun work culture, Esurance offers comprehensive medical, dental, vision care and supplementalfe insurance benefits for you and your family, a competitive compensation package along with a Performance Bonus, company matching 401(k) plan, and immediate tuition reimbursement from the start of your employment. &#160;"
Ruby Tuesday ï¿½ï¿½ï¿½ Technical Support Analyst ï¿½ï¿½ï¿½ IT Department,IT Support Analyst,,[15],"hrbcenterRuby Tuesday ndash; Technical Support Analyst ndash; IT Department (Maryville, TN)/centerhrbrstrongJob Description/strongbrbrWe are seeking a Technical Support Analyst to lead our MAC support effort. The individual will provide technical assistance to system users, handle incoming calls in accordance with current standards, policies, and procedures. Install, modifies, and makes repairs to MAC amp; PC hardware and software systems.brbrstrongESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned./strongbrul   Answer incoming calls and logging them into Heat Call Tracking System   Responding to client inquiries concerning system operation; and diagnosing system hardware, software, and operator problems   Instructing users in use of equipment, software and hardware   Handling of backlogged calls, as assigned within time frames specified by the current standards   Properly journalizing action taken on all calls   Complete checklist on newly issued computers and observing system functions to verify correct system operation   Provide updates, status and completion information to the managers, team members and users via voice mail, e-mail or in-person communications   Provide collateral duties as assigned   On Call responsibilities as required   Other projectsesponsibilities as directed br hrbcenterRuby Tuesday ndash; Technical Support Analyst ndash; IT Department (Maryville, TN)/centerhrbrstrongRequirement/strongbrbrstrongEDUCATION and/or EXPERIENCE:/strong brbrTwo-Year degree or equivalent; 2+ years experience in handling end-user problem calls as well as troubleshooting MAC amp; PCs. 1+ year of MAC support in a business environment is required.brbrstrongCOMPUTER EXPERIENCE:/strongbrbrMAC amp; PC support, printers, CD-ROM drives, hard drives, RAM, monitors, modems, scanners, network devices, MAC amp; PC software, along with an assortment of other software products. brbrul   Go to a ExLinkAttributehttp://www.rubytuesday.com; classexLink; hrefhttp://www.rubytuesday.com;www.rubytuesday.com/a   Click on Careers at the bottom of the page   Under Apply Today next to Online Application click on the [click here] (this will redirect you to our online application)   Select ;GET STARTED;   Put in zip code of 37801 and choose ;GO;   Select ;0 miles from you; ;Support Center - IT Teh Support 3055-86, 150 West Church Avenue, Maryville, TN 37801; and choose NEXT brpbispanRuby Tuesday Inc. is an Equal Opportunity Employer/i br"
Compliance Consultant Job,Compliance Consultant,,"[13, 11]","Compliance Consultantbrr/Job ID #:  79650brLocation:  TX-HoustonbrFunctional Area:  OperationsCompany:brEmployment Type:  Full Time br PermanentbrEducation Required:  Bachelors Degree (or equivalent)brExperience Required:  10+ yearsbrRelocation Provided:  NoTravel Percentage:  0brrPosition Description:brr/Compliance Consultantbrr/About VALIC:VALIC specializes in retirement savings and investment products and services, including individual variable and fixed annuities, group retirement products, mutual funds, financial planning and investment advisory services and guaranteed investment contracts.VALIC has more than half a century of experience helping Americans plan for and enjoy a secure retirement and we are a leading provider to K-12 schools, higher education, and government and healthcare institutions. VALIC has been in the 403(b) market since its inception writing the first K-12 403(b) program almost 50 years ago.brrosition Overview:This position will provide support to plan sponsors, VALIC marketing staff both in the field and in home office, Implementation, Amarillo, and various home office operations staff in plan design, products, testing, distribution, and other issues. This position will be responsible for:brr Performing ongoing group and individual compliance service duties related to more complex pension plans, including working with controlled and affiliated service groups and including all available catch up alternatives and cross-plan coordination ofmits.brr Consulting with group clients to simplify and/or improve plan design, maintain compliance, or correct compliance failures in accordance with IRS and DOL guidance.  Partnering with internal contacts to present alternatives to clients.brr Performing IRS/DOL audit support, including research, correction programs, and calculations, as well as quality review function for IRS/DOL audit related group reporting tasks.brr Resolving ad hoc inquiries routed to the team.brr Escalated issue resolution for IRS/DOL compliance concerns, including elevated calls from client care center Client Advocate Team formits monitoring and elevated calls and email from Plan Sponsor Service Team.brr Providing support of current and prospective clients with IRS and DOL correction programs, including self correction, voluntary correction programs, prior year testing and regulatory filingsbrr Subject Matter Expert participation in and support for internal strategic projects including the fee disclosure projectbrr Preparation of Determination letter filingsbrr Performing the Non-bank custodial manager role for VALICbrr Resolving orphan plan issues for Amarillo and other areas of VALIC.brr/Organization:This position will report to the Director of Compliance Consulting  Plan Documents.  There are 4 other team members on the Compliance Consulting team.brrerformance Objectives:This position will be measured by the level of success to:brr Meet all deliverables and all regulatory and compliance deadlines (ADP/ACP, Form 5330, Form 5500 or extension, 402(g), etc.) as well as acknowledge and respond to all client issues in a timely manner.brr Proficiently perform highly complex 401(a)(4) benefits, rights, and features testing and 401(a)(4) general non-discrimination (rate group) testing.brr Operating day-to-day administrative systems including ASC compliance testing system, Relius; VALIC record keeping system, departmental databases, and other document generation systems.brr Maintain subject matter expertise and be able to apply such knowledge to assist with plan design or problem resolution for both internal and external clients.brrosition Requirementsbrr/Experience and Skills Requirements:brr Bachelorï¿½ï¿½ï¿½s degree in a business related field, 15-20 years prior experience testing Defined Contribution Plans; problem solving skills; process improvement skills; excellent communication skills; Understand and articulate regulatory requirementsbrr Demonstrated ability in researching questions/escalations with full-scope understanding in order to provide exceptional client servicebrr Demonstrate proficient to expert level skills in Microsoft Office especially Excel, Word and Accessbrr Technical aptitude to rapidly acquire expertise with various VALIC in-house systems.brr/SAFG:CB11/22/2012brrAbout Us:brr/SunAmerica Financial Group is one of the largestfe insurance organizations in the United States based on over $236 billion of admitted assets as of June 30, 2011. Serving over 18 million customers, SunAmerica Financial Group is comprised of several leadingfe insurance and retirement services businesses, including American Generalfe Companies, AGLA, VALIC, Western Nationalfe Insurance Company, SunAmerica Retirement Markets, SunAmerica Mutual Funds, SunAmerica Affordable Housing Partners, FSC Securities, Royal Alliance and SagePoint Financial. The unified businesses offer a comprehensive suite offe insurance, retirement savings products and guaranteed income solutions through an established multi-channel distribution network that includes banks, national, regional and independent broker-dealers, career Financial Advisors, wholesalefe brokers, insurance agents and a direct to consumer platform. Equal Opportunity Employer. "
Temp Security Officer,Security Officer,,[33],"ul   spanCirculate among visitors, patrons or employees to preserve order and protect property.    spanspanBe friendly, helpful and attentive.    spanspanObserve, report, monitor.    spanspanAuthorize entrance/departure of employees, visitors and other persons to guard against theft and maintain security of premises.    spanspanRespond to, investigate and write reports of daily activities and irregularities such as equipment or property damage, incidents, theft, presence of unauthorized persons, or unusual occurrences. / spanul   spanMust have reliable means to get to work on time.    spanMust have Maryland state securitycense   spanMust be at least 18years of age or older as required by applicable law or contractual requirements.   spanMust have a high school diploma or GED.    spanspanAbility to communicate effectively both orally and in writing for the purpose of public interaction and report writing.    spanAuthorized to work in the United States.    spanspanNegative result on pre-employment drug screen.    spanspanAbility to maintain satisfactory attendance and punctuality.    spanspanNeat and professional appearance.    spanspanFriendly and professional demeanor.    spanspanAbility to provide quality customer service.    spanspanAbility to effectively handle typical and crisis situations.    spanspanStronggeographic orientation. brNote   spanSpecial Event Dates are 1/19/2013 - 1/24/2013   spanspanPay Rate: $10.50   spanspanHours are 10pm - 5am   strongTemp Security Officer Openings are available throughout the entire state of Virginia, Washington, DC and Maryland/strongppstrongspanInterested in joining the team?strongspanThank you for your interest in working for McRoberts, a nationwide provider of full-service security solutions. McRoberts is always looking for goal-oriented, qualified, and service-oriented professionals to join the team. As an Equal Opportunity Employer, McRoberts is committed to a diverse workforce. McRoberts offers competitive compensation package and opportunities for advancement.brspanpspanThis is your chance to capitalize on a new and exciting opportunity! If you are a highly motivated, energetic, driven individual who is looking to take the next step in their career apply now to be considered for a rewarding opportunity with McRoberts Protective Agency!pspanFor more information please visit our website at span styletext-decoration: www.mcroberts1876.comspan!"
iSeries Developer,AS400 RPG Programmer,,[15],"rimary responsibilities include: Development, report generation, maintenance (60%), Secondary level support of ERP and ERP related software (30%), maintenance and support of the I-Series (10%), and rotational on-call support.br r / pstrong/strongCandidates must demonstrate experience with the following:br    multiple years in an i-Series/AS400 environment   a minimum of 3 to 5 years experience coding in CL, CLLE, RPG, RPGLE, and RPG Free   Experience with legacy systems.   SQL, Help Systems Sequel, Relational Databases, Report Generation   Competent in Windows and Microsoft Office Suitebr /Experience with the following is beneficial but not required:br    Imaging systems   Basic TCP/IP concepts   Change Management Systems   High Availability Software   Experience with TMW/Innovative software a plus   AS/400, AS400, i-Series, OS400, OS/400"
Sr. Unica Campaign Analyst Job,Systems Analyst ,"this is a stupid and confusing job title, as stated here: http://www.iiba.org/Careers/Careers/understanding-the-s-in-business-systems-analysis.aspx - it can be either Systems Analyst or Business Analyst, so we will go with Systems Analyst.","[15, 19, 13]","The Sr. Campaign Business Systems Analyst is responsible for the development and execution of multi-channel marketing campaigns according to client specifications.  The Sr. Campaign BSA coordinates with client business owners to clarify business rules and manage deployment schedules in addition to sharing responsibility for managing the database update process and associated schedules and tasks.  The Sr. BSA is also responsible for providing input to project status updates and client status calls.brrResponsibilities* Design and develop marketing campaigns using Unicas Campaign Managerbr Participate in client status meetings and provide input and updates to relevant projectsbr Monitor weekly database update including file receipt, job control set-up and quality control proceduresbr Communicate status and issues with internal and external stakeholdersbr Complete Analytic Requests according to client specificationsbr Promptly work to resolve any issues found with applications and database that impact the client, including communication with client and internal teambr Transform high-level client requirements into functional specificationsbr Help client users understand application interfaces and provide basic training and supportbr Develop and executing quality assurance test plansbr Develop ad-hoc custom reports based on client requestsbr Troubleshoot production issues as they arisebrrQualifications* Bachelors degree or equivalent experience required.  A degree in Information Systems or Management a plusbr 5+ years of experience using campaign management software (Unica) required.br 3+ years of experience in software packages or programming languages used for analyzing and manipulating data (PL/SQL, SQL).br 2+ years of experience withnux/Unix operating systems.  Must understand file system and file manipulation concepts.br Knowledge of relational database technology and database build experience (Oracle, SQL Server or Netezza)br Excellent verbal and written communication skillsbr Data analysis skills a plusbr Familiarity with ETL concepts and/or tools a plusbr Knowledge of email or direct marketing a plusbr Experience in database marketing/management a plusbr Knowledge of business intelligence software (Microstrategy, Business Objects or Cognos) a plusbr Client-facing experience a plusbr Job may require flexible scheduling and rotating off hours/weekend supportbr Self-starter, takes initiative and ownership for tasks and responsibilities of the rolebr Must be able to work under tight deadlines with attention to detail to ensure timely delivery of quality products.br Must have the ability to multitask and work on different types of projects based on project calendar.brrCompensation and BenefitsAlliance Data and Epsilon offer a competitive salary and a comprehensive selection of benefit options including 401(k).brrConditions of EmploymentAll job offers are contingent upon successful completion of drug screen and background checks.brrAbout UsEpsilon is the industrys leading marketing services firm, with a broad array of data-driven, multichannel marketing solutions that leverage consumer insight to help brands deepen their relationships with customers. Services include strategic consulting, acquisition and customer database technologies, loyalty management, proprietary data, predictive modeling and a full range of direct and digital agency services, including creative, interactive web design, email deployment, search engine optimization and direct mail production. In addition, Epsilon is the worlds largest permission-based email marketer. Epsilon is an Alliance Data company. For more information, visit a ExLinkAttributehttp://www.epsilon.com%2for; classexLink; hrefhttp://www.epsilon.com/or;www.epsilon.com/or/a call 1.800.309.0505. "
Marketing Representative,Sales Representative,in soc 41: this cluster has many Marketing Representative titles,[41],Spherion is looking for a Marketing Representative for local firm. brMedia advertising experience preferred.br2-3 years of marketing/advertising experience required.brSales experience preferred. Bachelors Degree in marketing/advertisingublic relations or related field required.
Senior Financial Analyst-Healthcare required (Luv),Financial Analyst,,[13],"strongClassification: /strong &#160;Senior Financial Analyst strongCompensation: /strong &#160;$67,500.99 to $82,500.99 per year My client located in Atlanta, GA is looking for a bSr. Financial Analyst -Healthcare reporting to a Director of FPAbrbrbrliResponsible for supporting system-wide decision making and providing input to the short and long term strategic financial outlook by using strategic analytics, tools, and processes. Supports research and analysis in cost accounting, productivity, and management reporting. Maintains strict confidentiality of all patient, employee and company data. brExperience with database and decision support systems preferredbrDemonstrates the ability to perform under stressful and changing circumstances and deadlinesbrForecasting, Budgeting, Variance/Trend analysis, ad-hoc reporting and other financial analysis/financial modeling functionsbrOnly qualified candidates will be considered and contactedbrPlease no phone calls, I will contact you if you are qualified for the positionIf you are interested in this opportunity with a growing organization please send resumes to bLuv Mirani at a hrefhttp://api.careerbuilder.com/v1/application/applylink?developerkey=WDH53HS62R10N37JG115JobDID=J3H18H6799PVVVZJJ3QDID=J3H18H6799PVVVZJJ3Q;[Click Here to Email Your Resum]/a Qualified Candidates will:brr/Have a Bachelor of Science degree in Accounting, Finance, Business or EconomicsMust have Healthcare experienceHave 2+ years of financial planning experienceHave good communication skills and ability to interact with Senior Management required.No Relocation offeredbrr/ For immediate and confidential consideration, please send resumes to Luv Mirani at a hrefhttp://api.careerbuilder.com/v1/application/applylink?developerkey=WDH53HS62R10N37JG115JobDID=J3H18H6799PVVVZJJ3QDID=J3H18H6799PVVVZJJ3Q;[Click Here to Email Your Resum]/a brobert Half Finance  Accounting pioneered specialized financial recruitment and today is the worldwide leader. We specialize in placing professionals on a full-time basis in a variety of areas, including accounting, finance, bookkeeping, payroll, credit  collections, audit and taxation. For six decades we have been matching highly skilled accounting and finance professionals with our clients positions. Our relationship with industry-leading companies in more than 350 locations around the globe gives you unparalleled access to exciting career opportunities. Our company again was named to FORTUNEï¿½ï¿½ï¿½ magazines Worlds Most Admired Companiesst, ranking #1 in our industry (March 19, 2012). Robert Half Finance  Accounting is an Equal Opportunity Employer"
Senior Quality Engineer,Quality Engineer,"soc major returns SOC-17, but it’s a SOC-15 title","[15, 17]","pThe MathWorks is looking for a smart, creative and energetic Senior Quality Engineer with expertise in internet scale distributed systems whose interest, curiosity and passion drives innovation and production quality to new levels. Successful candidates will work on an enthusiastic engineering team who share a passion for getting things done and delivering high quality and well-crafted code. Quality is a top priority.      Responsibilities    ulliPlay a key role:brliinfluencing requirements specificationsbrensuring testability of the application, engaging with developers in the design phasebrdesigning and developing high quality tests including functional, performance, reliability, security, fuzzy, destructivebrCollaborate in a fast paced Agile environment with a highly cross-functional teambrReview and triage bugs, working with quality, software engineers and management to categorized and prioritizebrPerform bug analysis, code churn and other quality analysisbrFoster a continuous process improvement environment ulliBS/MS in Computer Science or equivalentbr5+ years of Commercial Software Quality Engineering experience, with extensive experience with JavabrAutomated testing experiencebrEffective analytical and problem isolation skillsbrExcellent written and verbal communication skillsbrAbility to multi-task, triage issues, react well to changes, and work independently in a fast-paced environment.brstrongPlusses:/strongbrliAutomated testing experience with distributed systems, web services and/or virtualizationbrExperience with load, performance, and profiling tools (JMeter, YourKit, JProfiler)brExperience with Continuous Integration, Maven, TeamCity, Continuous DeliverybrExperience with MATLAB/"
RN - Registry II,Registered Nurse,can also be Staff Nurse,[29],"Welcome to Elmhurst Memorial Healthcare. From home care to open-heart surgery, Elmhurst Memorial has a dedication to excellence that keeps the Health System aggressively poised for expansion and at the forefront of quality.brr/brrJob Summary: The staff nurse has the primary responsibility and accountability for the total nursing care of the patients as identified by the Standards of Nursing Practice and the Illinois State Nurse Practice Act.   pQualifications:   p1. Should be a self-starter, able to handle frequent periods of high stress.   p2. Must be flexible to scheduling changes including scheduled overtime, weekend hours and holidays.   p3. Communicates clearly in English, both written and oral.   pEducation: Maintains current CPR certification.   pExperience: minium one year Labor and delivery exp required.  p*CB  pRequirements vary according to patient care area.   pLicense: Current Illinois Registration. p brr/&#160;&#160;brr/a hrefjavascript:openit(?fuseaction=apply.logintemplate=dsp_apply_login.cfmcJobId=914426);brr/strongElmhurst Memorial Healthcare offers a comprehensive employee benefits package, including: competitive salary, vacation time, tuition reimbursement, health insurance,fe insurance, dental insurance, a savings and investment plan and incentive program. Benefits may vary among divisions. "
